row_id,case_id,blind_variant_id,answerability,question,human_quality,judge_quality,human_pass,judge_pass,human_scores,judge_scores,human_flags,judge_flags,judge_rationale,needs_audit,audit_reason,secondary_review_status,secondary_reviewer_notes
java-spec-release-001::variant-20c2ee7c,java-spec-release-001,variant-20c2ee7c,answerable,Which Java release and specification status are identified by the Java Language Specification in this corpus?,1.0000,1.0000,true,true,G4/K4/CC4/CP4/D2,G4/K4/CC4/CP4/D2,U0/C0/I0/F0,U0/C0/I0/F0,"All requested key facts (Java SE 26, version 26, status Final Release, release date March 2026) are explicitly supported by [S1] (and redundantly by [S2]). The cited [S1]/[S2] labels exist and support the attached claims. Every material factual claim is cited.",no,,pending,
kotlin-gradle-plugin-001::variant-015380ad,kotlin-gradle-plugin-001,variant-015380ad,unanswerable,How does the Kotlin Gradle plugin configure jvmToolchain and compilerOptions?,1.0000,1.0000,true,true,A1,A1,U0/C0/I0/F0,U0/C0/I0/F0,"The candidate answer declines to provide a substantive response, which is appropriate because no frozen evidence was provided for the retrieval gate.",no,,pending,
kotlin-gradle-plugin-001::variant-20c2ee7c,kotlin-gradle-plugin-001,variant-20c2ee7c,unanswerable,How does the Kotlin Gradle plugin configure jvmToolchain and compilerOptions?,1.0000,1.0000,true,true,A1,A1,U0/C0/I0/F0,U0/C0/I0/F0,"The candidate answer declines to provide a substantive response, which is appropriate because no frozen evidence was provided for the retrieval gate.",yes,deterministic-agreement-sample,pending,
kotlin-gradle-plugin-001::variant-cff457f4,kotlin-gradle-plugin-001,variant-cff457f4,unanswerable,How does the Kotlin Gradle plugin configure jvmToolchain and compilerOptions?,1.0000,1.0000,true,true,A1,A1,U0/C0/I0/F0,U0/C0/I0/F0,"The candidate answer declines to provide a substantive response, which is appropriate because no frozen evidence was provided for the retrieval gate.",no,,pending,
python-parameter-kinds-001::variant-015380ad,python-parameter-kinds-001,variant-015380ad,answerable,"How do / and * divide positional-only, positional-or-keyword, and keyword-only parameters in a Python function definition?",1.0000,0.6875,true,false,G4/K4/CC4/CP4/D1,G3/K4/CC2/CP2/D2,U0/C0/I0/F0,U0/C0/I0/F0,"Core rules for `/` (positional-only), `*` (keyword-only), and the behavior when neither is present are supported by the evidence (S1/S4). However, the first sentence’s claim that `/` and `*` are “both optional” is not cited inline. Additionally, the first bullet cites both S1 and S4 while S4 does not explicitly state the “order matters / cannot be passed by keyword” details (those are in S1).",yes,pass-mismatch,pending,
react-effects-001::variant-cff457f4,react-effects-001,variant-cff457f4,answerable,When is an Effect appropriate instead of deriving a value during rendering?,0.8750,0.6875,true,false,G4/K4/CC3/CP3/D2,G2/K3/CC2/CP4/D2,U0/C0/I0/F0,U0/C0/I0/F0,"Most guidance matches the evidence (effects synchronize with external systems; rendering must be pure; deriving/transforms don’t need Effects; unnecessary Effects add extra render work). However, the answer includes “browser APIs” as an example of external systems for which an Effect is appropriate, but the cited excerpts [S1, S2, S3] do not mention browser APIs (browser APIs are not supported in the provided evidence set). Also, the expected “complexity” aspect is not explicitly covered (only extra render work/pass is).",yes,pass-mismatch,pending,
react-state-queue-001::variant-015380ad,react-state-queue-001,variant-015380ad,answerable,How should a component increment the same state value three times in one event handler?,1.0000,1.0000,true,true,G4/K4/CC4/CP4/D2,G4/K4/CC4/CP4/D2,U0/C0/I0/F0,U0/C0/I0/F0,"The answer correctly instructs using the functional updater form setNumber(n => n + 1) three times, and explains React queues updater functions and processes them in order on the next render such that each updater is based on the prior queued result. The contrast with direct value updates (setNumber(number + 1)) is also supported by the provided snapshot/queueing evidence.",no,,pending,
react-state-queue-001::variant-20c2ee7c,react-state-queue-001,variant-20c2ee7c,answerable,How should a component increment the same state value three times in one event handler?,1.0000,1.0000,true,true,G4/K4/CC4/CP4/D1,G4/K4/CC4/CP4/D2,U0/C0/I0/F0,U0/C0/I0/F0,"All key technical claims (use functional updater, React queues updater functions and processes them during the next render, and updater functions use the previous queued result) are supported by the frozen evidence. All material factual claims have appropriate inline citations and all cited labels exist.",no,,pending,
rust-ownership-move-clone-001::variant-015380ad,rust-ownership-move-clone-001,variant-015380ad,answerable,What is the difference between moving and cloning a heap-owning Rust value such as String?,0.9375,0.5625,true,false,G4/K4/CC4/CP3/D1,G2/K3/CC2/CP2/D2,U0/C0/I0/F0,U1/C0/I0/F0,"The answer correctly states that assignment/move of `String` copies only the stack parts and does not copy heap contents ([S3]). However, it also claims that the original binding becomes invalid after the move; that specific “cannot be used after move” effect is not supported in the provided [S3]/[S4] excerpts. Clone as deep-copying heap data and keeping both values usable is supported ([S1], [S2]), and the “no automatic deep copies; clone is an indicator (possibly expensive)” points are supported ([S1], [S2]).",yes,pass-mismatch,pending,
swift-sendable-actors-001::variant-015380ad,swift-sendable-actors-001,variant-015380ad,unanswerable,When must a value conform to Swift Sendable to cross an actor isolation boundary?,1.0000,1.0000,true,true,A1,A1,U0/C0/I0/F0,U0/C0/I0/F0,"No frozen evidence is provided, so the question cannot be answered. The candidate abstains without making any unsupported technical claims.",no,,pending,
swift-sendable-actors-001::variant-20c2ee7c,swift-sendable-actors-001,variant-20c2ee7c,unanswerable,When must a value conform to Swift Sendable to cross an actor isolation boundary?,1.0000,1.0000,true,true,A1,A1,U0/C0/I0/F0,U0/C0/I0/F0,"No frozen evidence is provided, so the question cannot be answered. The candidate abstains without making any unsupported technical claims.",no,,pending,
swift-sendable-actors-001::variant-cff457f4,swift-sendable-actors-001,variant-cff457f4,unanswerable,When must a value conform to Swift Sendable to cross an actor isolation boundary?,1.0000,1.0000,true,true,A1,A1,U0/C0/I0/F0,U0/C0/I0/F0,"No frozen evidence is provided, so the question cannot be answered. The candidate abstains without making any unsupported technical claims.",no,,pending,
